"","PER","PBR","PCR","PSR","DY"
"097950",13.297457649919,0.801236807565227,4.16896919207317,0.298759426480227,0.0092
"086280",6.69544452608376,1.1420604085725,7.5123660346249,0.278528331183558,0.0247
"088350",NA,NA,NA,NA,NA
"029780",NA,NA,NA,NA,NA
"006360",-24.8472629691211,1.2915637509646,-20.3614553965937,0.358258408664755,0.0056
"241560",14.6456049671293,1.16993920933625,10.6478137015401,1.18316022660215,0.02
"042660",6.36507200128721,1.32273121637075,-3.87870599941171,0.356328906015241,NA
"071050",NA,NA,NA,NA,NA
"271560",51.7706632142857,2.91015104394379,20.2580856055901,3.50327796186896,0.0061
"001040",8.33718403062325,0.322372228198329,1.72556339716122,0.143723176485022,0.0109
"028050",-83.5374449339207,3.7748581666169,-28.3029850746269,0.685054730681695,NA
"005940",NA,NA,NA,NA,NA
"001450",NA,NA,NA,NA,NA
"008770",147.374367391304,5.58085839694656,17.9950361727799,0.929470645643774,0.0037
"000120",111.164914412698,1.25838027958458,14.2114237175325,0.492475079320432,NA
"012750",24.1837057473831,2.86928716145057,11.7794868579198,1.78423777665654,0.0274
"282330",123.456471428571,8.89547400926402,-138.271248,3.6825196548418,0.005
"002380",80.3103142105263,0.572246754172136,10.0840226314208,0.868781349378882,0.0283
"017800",35.8338231944444,4.01537872740333,36.181724390507,1.68232224055776,0.004
"047810",-13.8214065410289,2.8505742006752,31.0783443446463,1.56876499297848,NA
"088980",NA,NA,NA,NA,NA
"011070",18.0075814130435,1.61355609544802,7.05767989013453,0.411930435653153,0.0019
"003410",10.3573918733863,1.54815104890901,10.4893331711364,2.06246660401424,0.0345
"009830",3.74795921704862,0.499546176371717,3.3736541871862,0.330872205174592,0.0185
"004170",16.849678946791,0.624392005691635,8.59456203693341,0.793432988582942,0.004
"000210",6.22923547400612,0.536578683947105,6.98226691042048,0.247694864415711,0.0114
"007070",25.6340947546531,1.26601345422638,6.85199004975124,0.366529165557787,0.0152
"138930",NA,NA,NA,NA,NA
"016360",NA,NA,NA,NA,NA
"028670",19.2385144378057,1.1424314947506,10.5238203977446,1.17842283025854,NA
"000100",25.1467887431193,1.70640600946274,21.7367166772403,1.87457254342771,0.0085
"064350",-56.6666666666667,1.89381654092928,12.2536496350365,0.985434934145357,NA
"010060",11.3713476032354,0.782015268319817,5.56137737247554,0.735524163454125,0.0174
"079440",NA,NA,NA,NA,NA
"003490",3.31926261756159,0.700380251606195,0.936011244762719,0.217263720563669,0.009
"081660",41.9676402163462,2.12167281009479,87.29269165,1.03496848180058,0.0012
"011780",11.9103567345506,1.30010844158831,6.04287933135392,0.502300623617912,0.012
"030000",19.9875084316038,2.97010639310748,65.0233010869565,0.753306984444444,0.0344
"000150",62.4171526108374,0.333289896099114,3.74318522304284,0.14410620271592,0.0386
"000880",6.13870252096695,0.155883292639386,0.48431059686679,0.0493732690400044,0.0181
"007310",19.4677306397563,2.21961881990274,23.5369524217311,1.20219783322359,0.0099
"008560",NA,NA,NA,NA,NA
"047040",9.37518812638084,1.0654651709407,7.19394251902786,0.206278359955128,NA
"020150",54.4151559952607,4.32941097850679,37.5215618137255,5.05797264977974,0.0131
