"","PER","PBR","PCR","PSR","Div"
"AMID",-1.30853139297966,1.19421398014839,21.8132515014013,0.501713422064787,0.345081927276797
"ARL",-28.6345702600671,2.48531671354067,-7.31180243673852,2.15805944835217,0.00404674059362249
"ARA",-85.2477778676371,NA,NA,NA,NA
"AWR",32.2656616979255,4.22340460802536,15.4835087373402,5.07979327194776,0.0162708663489739
"AMT",55.7752951068346,10.2900348178355,21.952848070659,9.6377875291526,0.018129940452077
"AVD",25.2031086613396,1.67497484101488,8.66032482500297,1.43915544984185,0.00313131262227715
"AWK",38.1532971830986,3.01825526462396,11.2169113871636,4.84161590705988,0.0177809994405691
"COLD",-120.915696739399,-19.3589055248122,22.1558227134522,2.3463803288757,0.0134486838834022
"APU",32.3241808915133,5.11491767105349,10.5099657615014,1.52833676217804,0.0937026319438667
"AMP",13.1329639459459,3.24054462154051,11.4266823280423,1.60967177142857,0.0252613772581907
"ABC",54.9493715758168,9.70140232701901,13.3153784755388,0.13078011221582,0.0159909793046313
"ANFI",2.40649229804235,0.230005962257632,10.4323449212554,0.109394484286967,NA
"AMN",19.2718892183044,4.54136973158622,22.1637928458642,1.28473833993645,NA
"AP",-4.86681818181818,0.370168584569117,-3.7145631037313,0.136065746841474,0.0380046117134598
"APH",39.8516014443044,6.49743514449847,22.6564121128474,3.69738375757991,0.00790789295505296
"AXR",243.837,0.670075236412761,109.290406779661,1.51254185779817,NA
"AME",24.9976565840316,4.22956933571654,20.4440072442302,3.96150687817458,0.00485672185292558
"APC",-75.3544860910345,3.26893058584892,8.7214970182689,3.18757239003008,0.00317465024765787
"ANDX",43.5964818045113,3.96467150769231,16.3563669393512,3.60929478991597,0.0457027980363622
"AU",-21.1839592075393,1.51939023981975,4.0583111420662,0.928865061671258,0.0096388252863857
"BUD",NA,NA,NA,NA,NA
"AXE",20.4746253853211,1.52963273954764,12.1421880685528,0.281521579206297,NA
"NLY",8.92512101284342,0.991274918425828,1.87968129777407,6.59414844222453,0.103847310903733
"AMGP",529.891020444445,219.995759384931,122.282543179487,49.2497678209983,0.00466290848118341
"AM",26.711297712494,4.25168053529953,13.3386383660224,8.21552806030315,0.0363129380074133
"AR",9.86721242499228,0.744740648936378,3.02499804177958,2.01048680012655,NA
"ANTM",18.8342855938378,2.73088577778281,17.2950661154655,0.80374811690576,0.00973936353966405
"ANH",9.47547798004286,0.750857802096019,NA,6.46833646881511,NA
"AON",29.6589338897227,7.93407221226271,49.5393091945504,3.63691267741548,0.0100104909535974
"APA",13.0555617884663,2.2956381569795,7.01171852230642,2.93930465679558,0.0223208351862903
"AIV",22.0801418377702,4.40500655626521,17.1907230811465,6.82884033211247,0.0345317411192389
"APY",30.6876228782154,2.07622354513128,54.415764656858,3.36296304146927,NA
"ARI",16.3441671394198,1.20042396429895,16.1841795535697,9.81152898255723,0.0876459854792141
"APO",10.7542305029954,5.33810123244513,7.91562074723665,2.50180416608141,0.0594320248520056
"APLE",20.9151629800758,1.06882079887765,9.92056974057873,3.08152924989222,0.0701932235837833
"AIT",19.976773239188,3.4715815441928,19.2066102074621,0.920585183748667,0.0162087620691046
"ATR",29.843866381857,5.00598893986452,20.2216183956468,2.6592925638738,0.0121744370592934
"APTV",14.5127222435424,5.96081801758109,13.3955985286104,1.52629141881403,0.0157642573173808
"WTR",27.5400167683054,3.37265923281371,NA,8.15587973194157,NA
"AQ",-78.9938892375854,4.70675471324548,-37.1804585976193,4.13955459461551,NA
"WAAS",NA,NA,NA,NA,NA
"ARMK",26.9992938653145,4.10549269009593,9.58399615715782,0.691274455965773,0.00998577907306391
"ABR",13.6158063643958,1.47842896042829,NA,3.48727324079549,NA
"ARC",-5.7749579285017,0.953838924422399,2.37206645025778,0.31482952716693,NA
"MT",6.3489908056042,0.747691097991699,6.35594784133246,0.42228614278018,NA
"ARCH",7.97300377437618,2.85517747591479,4.79518844915038,0.83533702590114,0.0128179452285187
"ADM",17.30096256,1.50685498188172,12.4807938865672,0.453656791004143,0.0264540339415485
"AROC",82.0884331217163,1.93027704816556,7.42843484419263,1.88751074365605,0.0227098801312617
"ARNC",-84.3840285631496,2.20736799742945,15.2878339907561,0.826911391012346,0.0151164926930041
"ARCO",6.85525680132543,1.78647452839705,3.47010267664694,0.266744820418584,NA
"RCUS",-10.5693748163219,-7.75693443756222,-22.388904345744,397.05842462845,NA
"ARD",5.5327545,-0.260251518292683,0.358235902877698,0.0390853928571429,0.495366411204535
"ASC",-18.9465911042418,0.621169473719135,12.8500401928126,1.20779236249467,NA
"ACRE",NA,NA,NA,NA,NA
"ARES",40.2758237830615,7.45710195599894,-1.10012461646883,1.44799584621395,0.0557596385463955
"AGX",9.36789894599436,1.88388726419705,-9.26726156361189,0.75557844682269,0.023048013136822
"ARGO",40.7971934791252,1.1277127174809,NA,1.15669851304887,NA
"ANET",41.3762284840909,10.5163798558048,27.6703163602569,10.61685551431,NA
"AI",14.4968212290503,0.656928965293545,2.82986909008293,3.29480181991324,0.240573191862648
"ARLO",145.682779050237,7.60711311683238,-24.4729131717327,2.57400762967479,NA
"AHH",24.63792320802,1.75426998474837,12.7079501534007,2.43514026112144,0.0591571956153819
"ARR",5.36804697653593,0.791183706155762,8.05965348522425,4.08875542549024,0.118675796461698
"AFI",NA,NA,7.16622858505564,NA,NA
"AWI",21.728214899416,7.9854946720725,19.649753028169,3.74699856311549,NA
"ARW",15.335809663202,1.24494883789464,49.490696820251,0.229908098259215,NA
"AJG",28.3440953573742,3.19744484068986,15.3666009833763,2.15186323710225,0.0215371596347132
"APAM",47.4780090846811,14.5008706003293,7.81082847314441,2.00343277603491,0.0714198404040779
"ABG",8.95469072609633,3.5865173625108,NA,0.192921471385426,NA
"ASX",0.781566998094887,0.09480472484226,NA,0.0614054845424716,NA
"ASGN",22.1593731029015,3.52432002509605,17.7859521395193,1.33057131661084,NA
"AHT",-4.50407087927695,NA,2.69138335708982,0.389383916439469,0.182017392752445
"ASH",4764.367584,1.39881608455666,13.0530618739726,1.46146244907975,0.01616164131806
"ASPN",-4.71470635577869,0.902418607530983,-19.7769955492835,0.816017427954601,NA
"AHL",-8.03429095222828,1.03811067069887,-22.4743977399103,0.954626799238095,0.03687304821957
"ASB",19.7577063572474,1.40315992110515,9.42091136693661,4.12085533108121,0.0198608494594436
"AC",18.4856670476406,0.177921225794998,-2.41582135019225,6.06939772245959,0.0291874574783569
"AIZ",12.530090721709,1.52452468950499,12.2749531278281,1.0149080497272,0.018277786645909
"AGO",6.08845672153635,0.648996190963591,10.2505426096998,2.71799445805266,0.0157711473145808
"AZN",16.4992877377941,3.30978358964706,13.8385585525769,2.20406688186601,0.0710702879375737
"HOME",54.6231621400729,2.9408255057296,16.3903491293931,1.82811241120724,NA
"T",7.9869672035966,1.66984604784802,6.00792276432071,1.46510149207031,0.0511784511925082
"ATTO",-31.25399871352,1.42455848823036,4.58493200992556,0.273070344276345,0.0464083558637106
"ATH",5.5779751519337,0.877162035186794,2.54792051104101,0.925507966082273,NA
"ATKR",13.2390286510946,3.10509336023122,9.21086150886942,0.745071356854756,NA
"AT",NA,NA,NA,NA,NA
"ATO",26.6617944657443,2.70767255517657,12.1744120333529,3.82511760368296,0.0181816357317167
"AUO",0.871862059411164,0.18978150589251,0.440354259811529,0.10893418259052,0.145089020297899
"ATHM",4.09322610346924,1.03036382822807,3.31298807368163,1.31929796249095,NA
"ALV",16.8614700407399,1.78472252345667,7.69476851629448,0.693615650646274,0.0289799373604955
"AN",8.27307520699494,1.51752774446461,6.65706070164784,0.166962863715137,NA
"AZO",14.886847471769,-13.0967401823916,NA,1.77449048963838,NA
"AVLR",-38.6233025293952,-6.29270386085083,-699.451538548433,11.6192977917892,NA
"AVB",27.8411268112591,2.34364538519756,19.3797097800211,11.120595008327,0.0317366425046079
"AGR",38.3863681662992,0.970034242313458,8.29563600190584,2.45265910973671,0.0365806806463763
"AVNS",36.7643667843632,2.3987282260984,20.2178521914008,4.76686443100065,NA
"AVYA",-9.78754366197183,-0.415868102932376,7.16407835051546,0.637147555012225,NA
"AVY",31.1236619588361,8.38333773657044,13.4912289493924,1.32611326922495,0.017729590910931
