"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"1926","WTM","White Mountains Insurance Group, Ltd.","883.25","$2.81B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/wtm",NA
"1927","WSR","Whitestone REIT","13.17","$523.43M","2010","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/wsr",NA
"1928","WLL","Whiting Petroleum Corporation","41.07","$3.74B","2003","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wll",NA
"1929","WOW","WideOpenWest, Inc.","10.83","$895.16M","2017","Consumer Services","Television Services","https://www.nasdaq.com/symbol/wow",NA
"1930","WRD","WildHorse Resource Development Corporation","22","$2.24B","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wrd",NA
"1931","WMB","Williams Companies, Inc. (The)","26.74","$32.34B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/wmb",NA
"1932","WSM","Williams-Sonoma, Inc.","58.82","$4.74B","n/a","Consumer Services","Home Furnishings","https://www.nasdaq.com/symbol/wsm",NA
"1933","WGO","Winnebago Industries, Inc.","28.26","$893.86M","n/a","Consumer Non-Durables","Homebuilding","https://www.nasdaq.com/symbol/wgo",NA
"1934","WIT","Wipro Limited","5.1","$22.96B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/wit",NA
"1935","WNS","WNS (Holdings) Limited","48.69","$2.46B","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wns",NA
"1936","WWW","Wolverine World Wide, Inc.","33.76","$3.21B","n/a","Consumer Non-Durables","Shoe Manufacturing","https://www.nasdaq.com/symbol/www",NA
"1937","WF","Woori Bank","43.39","$9.74B","2014","Finance","Commercial Banks","https://www.nasdaq.com/symbol/wf",NA
"1938","WK","Workiva Inc.","33.84","$1.47B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/wk",NA
"1939","INT","World Fuel Services Corporation","27.78","$1.89B","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/int",NA
"1940","WWE","World Wrestling Entertainment, Inc.","82.03","$6.4B","n/a","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/wwe",NA
"1941","WP","Worldpay, Inc.","95.16","$29.69B","2012","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wp",NA
"1942","WOR","Worthington Industries, Inc.","40.79","$2.41B","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/wor",NA
"1943","WPP","WPP plc","67.67","$17.08B","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/wpp",NA
"1944","WPX","WPX Energy, Inc.","18.13","$7.61B","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wpx",NA
"1945","WYND","Wyndham Destinations, Inc.","36.46","$3.62B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/wynd",NA
"1946","WH","Wyndham Hotels & Resorts, Inc.","48","$4.8B","2018","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/wh",NA
"1947","XHR","Xenia Hotels & Resorts, Inc.","21.34","$2.39B","2015","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/xhr",NA
"1948","XRX","Xerox Corporation","26.87","$6.85B","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/xrx",NA
"1949","XIN","Xinyuan Real Estate Co Ltd","3.88","$249.96M","2007","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/xin",NA
"1950","XOXO","XO Group, Inc.","34.78","$901.22M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/xoxo",NA
"1951","XPO","XPO Logistics, Inc.","94.7","$12.01B","n/a","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/xpo",NA
"1952","XYL","Xylem Inc.","69.27","$12.44B","2011","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/xyl",NA
"1953","AUY","Yamana Gold Inc.","2.66","$2.52B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/auy",NA
"1954","YELP","Yelp Inc.","42.49","$3.56B","2012","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/yelp",NA
"1955","YEXT","Yext, Inc.","18.6","$1.83B","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/yext",NA
"1956","YRD","Yirendai Ltd.","16.55","$2.01B","2015","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/yrd",NA
"1957","YPF","YPF Sociedad Anonima","14.32","$5.63B","1993","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/ypf",NA
"1958","YUMC","Yum China Holdings, Inc.","31.85","$12.21B","2016","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/yumc",NA
"1959","YUM","Yum! Brands, Inc.","89.4","$28.37B","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/yum",NA
"1960","ZAYO","Zayo Group Holdings, Inc.","31.96","$7.88B","2014","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/zayo",NA
"1961","ZEN","Zendesk, Inc.","57.82","$6.13B","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/zen",NA
"1962","ZBH","Zimmer Biomet Holdings, Inc.","124.4","$25.31B","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/zbh",NA
"1963","ZOES","Zoe&#39;s Kitchen, Inc.","12.69","$248.78M","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/zoes",NA
"1964","ZTS","Zoetis Inc.","91.47","$44.07B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zts",NA
"1965","ZTO","ZTO Express (Cayman) Inc.","15.48","$12.19B","2016","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/zto",NA
"1966","ZUO","Zuora, Inc.","20","$2.15B","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/zuo",NA
"1967","ZYME","Zymeworks Inc.","12.75","$407.52M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zyme",NA
"1968","PIH","1347 Property Insurance Holdings, Inc.","5.87","$35.13M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",NA
"1969","TURN","180 Degree Capital Corp.","2.105","$65.51M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",NA
"1970","FLWS","1-800 FLOWERS.COM, Inc.","10.76","$695M","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",NA
"1971","FCCY","1st Constitution Bancorp (NJ)","19.16","$160.55M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",NA
"1972","SRCE","1st Source Corporation","46.75","$1.21B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",NA
"1973","VNET","21Vianet Group, Inc.","9.28","$1.04B","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",NA
"1974","TWOU","2U, Inc.","63.5","$3.65B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",NA
"1975","TPNL","3PEA International, Inc.","3.99","$174.25M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",NA
"1976","JOBS","51job, Inc.","58","$3.58B","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",NA
"1977","AAON","AAON, Inc.","32.21","$1.68B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",NA
"1978","ABEO","Abeona Therapeutics Inc.","9.34","$447.79M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",NA
"1979","ABIL","Ability Inc.","4.0155","$13.27M","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",NA
"1980","ABMD","ABIOMED, Inc.","362.42","$16.26B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",NA
"1981","AXAS","Abraxas Petroleum Corporation","2.05","$341.76M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",NA
"1982","ACIU","AC Immune SA","9.64","$649.38M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",NA
"1983","ACIA","Acacia Communications, Inc.","37.73","$1.53B","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",NA
"1984","ACTG","Acacia Research Corporation","3.08","$152.44M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",NA
"1985","ACHC","Acadia Healthcare Company, Inc.","38.4","$3.39B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",NA
"1986","ACAD","ACADIA Pharmaceuticals Inc.","22.21","$2.78B","1985","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",NA
"1987","ACST","Acasti Pharma, Inc.","1","$56.54M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",NA
"1988","AXDX","Accelerate Diagnostics, Inc.","16.73","$905.56M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",NA
"1989","XLRN","Acceleron Pharma Inc.","51.3","$2.36B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",NA
"1990","ANCX","Access National Corporation","25.6","$532.41M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ancx",NA
"1991","ARAY","Accuray Incorporated","3.61","$312.25M","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",NA
"1992","ACRX","AcelRx Pharmaceuticals, Inc.","3.63","$219.98M","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",NA
"1993","ACER","Acer Therapeutics Inc.","25.3","$254.34M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",NA
"1994","ACET","Aceto Corporation","2.15","$66.19M","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/acet",NA
"1995","AKAO","Achaogen, Inc.","4","$180.84M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akao",NA
"1996","ACHV","Achieve Life Sciences, Inc. ","2.43","$11.06M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",NA
"1997","ACHN","Achillion Pharmaceuticals, Inc.","2.96","$410.21M","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",NA
"1998","ACIW","ACI Worldwide, Inc.","25.94","$3B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",NA
"1999","ACRS","Aclaris Therapeutics, Inc.","12.5","$387.26M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",NA
"2000","ACMR","ACM Research, Inc.","10.24","$162.63M","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",NA
"2001","ACNB","ACNB Corporation","36.95","$260.08M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",NA
"2002","ACOR","Acorda Therapeutics, Inc.","17.86","$848.06M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",NA
"2003","ATVI","Activision Blizzard, Inc","69.75","$53.18B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",NA
"2004","ADMS","Adamas Pharmaceuticals, Inc.","17.85","$485.35M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adms",NA
"2005","ADMP","Adamis Pharmaceuticals Corporation","2.93","$138.56M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/admp",NA
"2006","ADAP","Adaptimmune Therapeutics plc","10.76","$1.12B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adap",NA
"2007","ADUS","Addus HomeCare Corporation","62.33","$796.12M","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/adus",NA
"2008","AEY","ADDvantage Technologies Group, Inc.","1.34","$13.81M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/aey",NA
"2009","IOTS","Adesto Technologies Corporation","4.24","$124.1M","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",NA
"2010","ADIL","Adial Pharmaceuticals, Inc","2.63","$17.2M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adil",NA
"2011","ADMA","ADMA Biologics Inc","5.53","$256.31M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma",NA
"2012","ADBE","Adobe Inc.","245.03","$119.61B","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",NA
"2013","ADOM","ADOMANI, Inc.","0.51","$36.98M","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",NA
"2014","ADTN","ADTRAN, Inc.","13.78","$657.85M","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",NA
"2015","ADRO","Aduro Biotech, Inc.","6.28","$496.5M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro",NA
"2016","ADES","Advanced Emissions Solutions, Inc.","10.39","$208.97M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",NA
"2017","AEIS","Advanced Energy Industries, Inc.","45.47","$1.78B","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",NA
"2018","AMD","Advanced Micro Devices, Inc.","23.66","$23.07B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",NA
"2019","ADXS","Advaxis, Inc.","0.645","$44.82M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxs",NA
"2020","ADVM","Adverum Biotechnologies, Inc.","4.49","$281.5M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/advm",NA
"2021","AEGN","Aegion Corp","23.57","$761.57M","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn",NA
"2022","AGLE","Aeglea BioTherapeutics, Inc.","9.3","$204.55M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agle",NA
"2023","AEHR","Aehr Test Systems","2.04","$45.4M","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",NA
"2024","AMTX","Aemetis, Inc","1","$20.22M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx",NA
"2025","AERI","Aerie Pharmaceuticals, Inc.","58.38","$2.64B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/aeri",NA
"2026","AVAV","AeroVironment, Inc.","92.84","$2.22B","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",NA
"2027","ARPO","Aerpio Pharmaceuticals, Inc.","2.2","$89.28M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/arpo",NA
"2028","AEZS","AEterna Zentaris Inc.","1.46","$24M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aezs",NA
"2029","AEMD","Aethlon Medical, Inc.","1.06","$18.87M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",NA
"2030","GNMX","Aevi Genomic Medicine, Inc.","1.25","$74.18M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gnmx",NA
"2031","AFMD","Affimed N.V.","3.21","$200.27M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",NA
"2032","AGEN","Agenus Inc.","1.96","$222.03M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agen",NA
"2033","AGRX","Agile Therapeutics, Inc.","0.9552","$32.84M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agrx",NA
"2034","AGYS","Agilysys, Inc.","15.52","$365.12M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",NA
"2035","AGIO","Agios Pharmaceuticals, Inc.","66.88","$3.88B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agio",NA
"2036","AGMH","AGM Group Holdings Inc.","38.54","$821.52M","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",NA
"2037","AGNC","AGNC Investment Corp.","17.82","$8.51B","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc",NA
"2038","AGFS","AgroFresh Solutions, Inc.","5.57","$281.21M","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",NA
"2039","ALRN","Aileron Therapeutics, Inc.","2.35","$34.63M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn",NA
"2040","AIMT","Aimmune Therapeutics, Inc.","27.29","$1.6B","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt",NA
"2041","AIRT","Air T, Inc.","40.3005","$82.36M","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",NA
"2042","ATSG","Air Transport Services Group, Inc","20.28","$1.2B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",NA
"2043","AIRG","Airgain, Inc.","12.55","$124.15M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",NA
"2044","AMCN","AirMedia Group Inc","0.53","$33.29M","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn",NA
"2045","AKAM","Akamai Technologies, Inc.","64.24","$10.89B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",NA
"2046","AKTX","Akari Therapeutics Plc","1.92","$29.29M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aktx",NA
"2047","AKCA","Akcea Therapeutics, Inc.","23.55","$2.02B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akca",NA
"2048","AKBA","Akebia Therapeutics, Inc.","8.62","$491.74M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akba",NA
"2049","AKER","Akers Biosciences Inc","0.36","$33.88M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/aker",NA
"2050","AKRX","Akorn, Inc.","7.03","$881.92M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akrx",NA
"2051","AKTS","Akoustis Technologies, Inc.","4.12","$91.85M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",NA
"2052","ALRM","Alarm.com Holdings, Inc.","45.09","$2.15B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",NA
"2053","ALSK","Alaska Communications Systems Group, Inc.","1.54","$81.9M","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",NA
"2054","ALBO","Albireo Pharma, Inc.","27.62","$330.61M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo",NA
"2055","ALDR","Alder BioPharmaceuticals, Inc.","12.59","$859.1M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldr",NA
"2056","ALDX","Aldeyra Therapeutics, Inc.","11.92","$250.02M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx",NA
"2057","ALXN","Alexion Pharmaceuticals, Inc.","125.89","$28.06B","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alxn",NA
"2058","ALCO","Alico, Inc.","33.46","$274.37M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco",NA
"2059","ALGN","Align Technology, Inc.","312.79","$25.12B","2001","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/algn",NA
"2060","ALIM","Alimera Sciences, Inc.","0.96","$67.24M","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim",NA
"2061","ALJJ","ALJ Regional Holdings, Inc.","1.6","$60.67M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",NA
"2062","ALKS","Alkermes plc","40.16","$6.24B","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks",NA
"2063","ALLK","Allakos Inc.","43.11","$1.82B","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/allk",NA
"2064","ABTX","Allegiance Bancshares, Inc.","40.12","$536.31M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",NA
"2065","ALGT","Allegiant Travel Company","119.96","$1.94B","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",NA
"2066","ALNA","Allena Pharmaceuticals, Inc.","10.31","$213.95M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alna",NA
"2067","AMMA","Alliance MMA, Inc.","0.3","$4.46M","2016","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/amma",NA
"2068","ARLP","Alliance Resource Partners, L.P.","19.8","$2.6B","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",NA
"2069","AHPI","Allied Healthcare Products, Inc.","2.01","$8.07M","1992","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ahpi",NA
"2070","AMOT","Allied Motion Technologies, Inc.","43.55","$412.64M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",NA
"2071","ALQA","Alliqua BioMedical, Inc.","2.04","$10.21M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/alqa",NA
"2072","ALLT","Allot Communications Ltd.","6.45","$217.46M","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",NA
"2073","MDRX","Allscripts Healthcare Solutions, Inc.","13.42","$2.34B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx",NA
"2074","ALNY","Alnylam Pharmaceuticals, Inc.","76.65","$7.72B","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alny",NA
"2075","AOSL","Alpha and Omega Semiconductor Limited","9.95","$237.74M","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",NA
"2076","GOOG","Alphabet Inc.","1096.46","$762.78B","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",NA
"2077","ATEC","Alphatec Holdings, Inc.","3.13","$132.7M","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atec",NA
"2078","ALPN","Alpine Immune Sciences, Inc.","5.01","$69.39M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alpn",NA
"2079","AMR","Alta Mesa Resources, Inc.","3.52","$1.35B","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amr",NA
"2080","AABA","Altaba Inc.","60.39","$36.57B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",NA
"2081","ALTR","Altair Engineering Inc.","35.86","$2.51B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/altr",NA
"2082","ALT","Altimmune, Inc.","4.31","$17.76M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alt",NA
"2083","ASPS","Altisource Portfolio Solutions S.A.","29.47","$502.2M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps",NA
"2084","AIMC","Altra Industrial Motion Corp.","35.6","$2.29B","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",NA
"2085","AMAG","AMAG Pharmaceuticals, Inc.","22.82","$786.67M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amag",NA
"2086","AMAL","Amalgamated Bank","19.79","$628.76M","2018","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/amal",NA
"2087","AMRN","Amarin Corporation plc","19.71","$5.84B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amrn",NA
"2088","AMRK","A-Mark Precious Metals, Inc.","13.83","$97.24M","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk",NA
"2089","AMZN","Amazon.com, Inc.","1764.03","$860.39B","1997","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/amzn",NA
"2090","AMBC","Ambac Financial Group, Inc.","19.6","$888.51M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc",NA
"2091","AMBA","Ambarella, Inc.","32.81","$1.05B","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/amba",NA
"2092","AMCX","AMC Networks Inc.","60.12","$3.42B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/amcx",NA
"2093","DOX","Amdocs Limited","63.43","$8.97B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dox",NA
"2094","AMDA","Amedica Corporation","0.3279","$3.89M","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/amda",NA
"2095","AMED","Amedisys Inc","108.23","$3.45B","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/amed",NA
"2096","UHAL","Amerco","328.29","$6.44B","n/a","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/uhal",NA
"2097","AMRH","Ameri Holdings, Inc.","1.11","$25.39M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrh",NA
"2098","ATAX","America First Multifamily Investors, L.P.","5.49","$331.89M","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax",NA
"2099","AAL","American Airlines Group, Inc.","32.04","$14.75B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal",NA
"2100","AETI","American Electric Technologies, Inc.","0.6806","$6.07M","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti",NA
"2101","AFIN","American Finance Trust, Inc.","14.09","$1.5B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/afin",NA
"2102","AMNB","American National Bankshares, Inc.","37.15","$323.74M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amnb",NA
"2103","ANAT","American National Insurance Company","123.89","$3.33B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/anat",NA
"2104","AOBC","American Outdoor Brands Corporation","13.91","$756.55M","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/aobc",NA
"2105","APEI","American Public Education, Inc.","29.83","$489.92M","2007","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/apei",NA
"2106","ARII","American Railcar Industries, Inc.","46.29","$883.39M","2006","Capital Goods","Railroads","https://www.nasdaq.com/symbol/arii",NA
"2107","AMRB","American River Bankshares","15.4799","$90.79M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amrb",NA
"2108","AMSWA","American Software, Inc.","11","$339.97M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/amswa",NA
"2109","AMSC","American Superconductor Corporation","6.79","$144.14M","1991","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/amsc",NA
"2110","AMWD","American Woodmark Corporation","62.92","$1.11B","1986","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/amwd",NA
"2111","CRMT","America&#39;s Car-Mart, Inc.","71.3","$490.78M","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/crmt",NA
