"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"977","JPM","J P Morgan Chase & Co","107.91","$358.84B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm",NA
"978","JAX","J. Alexander&#39;s Holdings, Inc.","10.86","$159.59M","2015","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/jax",NA
"979","JILL","J. Jill, Inc.","5.16","$225.74M","2017","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/jill",NA
"980","JCP","J.C. Penney Company, Inc. Holding Company","1.52","$478.64M","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/jcp",NA
"981","SJM","J.M. Smucker Company (The)","104.98","$11.94B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/sjm",NA
"982","JBL","Jabil Inc.","23.93","$4.03B","1993","Technology","Electrical Products","https://www.nasdaq.com/symbol/jbl",NA
"983","JEC","Jacobs Engineering Group Inc.","72.28","$10.26B","n/a","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/jec",NA
"984","JAG","Jagged Peak Energy Inc.","13.67","$2.91B","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/jag",NA
"985","JHX","James Hardie Industries plc.","13.63","$6.02B","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/jhx",NA
"986","JHG","Janus Henderson Group plc","23.8","$4.66B","2017","Finance","Investment Managers","https://www.nasdaq.com/symbol/jhg",NA
"987","JBGS","JBG SMITH Properties","36.79","$4.43B","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/jbgs",NA
"988","JEF","Jefferies Financial Group Inc.","21.44","$7.15B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/jef",NA
"989","JELD","JELD-WEN Holding, Inc.","16.94","$1.78B","2017","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/jeld",NA
"990","JCAP","Jernigan Capital, Inc.","19.26","$372.97M","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/jcap",NA
"991","JT","Jianpu Technology Inc.","4.52","$759.48M","2017","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/jt",NA
"992","JKS","JinkoSolar Holding Company Limited","9","$352.03M","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/jks",NA
"993","JMP","JMP Group LLC","5.07","$108.76M","2007","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmp",NA
"994","JBT","John Bean Technologies Corporation","102.7","$3.25B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/jbt",NA
"995","JNJ","Johnson & Johnson","139.05","$373.04B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/jnj",NA
"996","JCI","Johnson Controls International plc","32.93","$30.46B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/jci",NA
"997","JONE","Jones Energy, Inc.","3.41","$17.54M","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/jone",NA
"998","JLL","Jones Lang LaSalle Incorporated","133.02","$6.06B","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/jll",NA
"999","JMEI","Jumei International Holding Limited","1.98","$296.77M","2014","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/jmei",NA
"1000","JP","Jupai Holdings Limited","7.04","$232.49M","2015","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/jp",NA
"1001","JE","Just Energy Group, Inc.","3.07","$481.11M","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/je",NA
"1002","LRN","K12 Inc","17.12","$677.49M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/lrn",NA
"1003","KAI","Kadant Inc","97.96","$1.09B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kai",NA
"1004","KDMN","Kadmon Holdings, Inc.","2.61","$295.2M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kdmn",NA
"1005","KAMN","Kaman Corporation","61.69","$1.73B","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/kamn",NA
"1006","KSU","Kansas City Southern","106.12","$10.84B","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu",NA
"1007","KS","KapStone Paper and Packaging Corporation","30.76","$3.01B","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/ks",NA
"1008","KAR","KAR Auction Services, Inc","56.57","$7.6B","2009","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/kar",NA
"1009","KB","KB Financial Group Inc","45.55","$18.05B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/kb",NA
"1010","KBH","KB Home","19.67","$1.74B","1986","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/kbh",NA
"1011","KBR","KBR, Inc.","19.7","$2.77B","2006","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/kbr",NA
"1012","FRAC","Keane Group, Inc.","12.18","$1.34B","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/frac",NA
"1013","K","Kellogg Company","71.17","$24.67B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/k",NA
"1014","KEM","Kemet Corporation","16.87","$967.72M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/kem",NA
"1015","KMT","Kennametal Inc.","35.59","$2.92B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kmt",NA
"1016","KW","Kennedy-Wilson Holdings Inc.","19.1","$2.75B","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/kw",NA
"1017","KEN","Kenon Holdings Ltd.","16.88","$908.6M","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ken",NA
"1018","KDP","Keurig Dr Pepper Inc.","24.08","$33.44B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/kdp",NA
"1019","KEG","Key Energy Services, Inc.","9.28","$187.87M","2016","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/keg",NA
"1020","KEY","KeyCorp","17.84","$18.45B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/key",NA
"1021","KEYS","Keysight Technologies Inc.","61.78","$11.58B","2014","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/keys",NA
"1022","KRC","Kilroy Realty Corporation","70.62","$7.11B","1997","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/krc",NA
"1023","KRP","Kimbell Royalty Partners","18.62","$499.75M","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/krp",NA
"1024","KMB","Kimberly-Clark Corporation","110.23","$38.32B","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/kmb",NA
"1025","KIM","Kimco Realty Corporation","15.13","$6.38B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/kim",NA
"1026","KMI","Kinder Morgan, Inc.","17.98","$39.68B","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/kmi",NA
"1027","KFS","Kingsway Financial Services, Inc.","2.77","$65.54M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kfs",NA
"1028","KGC","Kinross Gold Corporation","2.93","$3.66B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/kgc",NA
"1029","KEX","Kirby Corporation","75.46","$4.52B","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/kex",NA
"1030","KL","Kirkland Lake Gold Ltd.","21.64","$4.54B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/kl",NA
"1031","KRG","Kite Realty Group Trust","15.67","$1.31B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/krg",NA
"1032","KKR","KKR & Co. Inc.","24.17","$20.03B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/kkr",NA
"1033","KREF","KKR Real Estate Finance Trust Inc.","20.11","$1.17B","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/kref",NA
"1034","KMG","KMG Chemicals, Inc.","74.23","$1.15B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kmg",NA
"1035","KNX","Knight Transportation, Inc.","30.41","$5.42B","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/knx",NA
"1036","KNL","Knoll, Inc.","21.07","$1.04B","2004","Consumer Durables","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/knl",NA
"1037","KNOP","KNOT Offshore Partners LP","21.43","$700.63M","2013","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/knop",NA
"1038","KN","Knowles Corporation","14.25","$1.28B","2014","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/kn",NA
"1039","KSS","Kohl&#39;s Corporation","71.26","$11.88B","1992","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/kss",NA
"1040","PHG","Koninklijke Philips N.V.","39.95","$37.21B","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/phg",NA
"1041","KOP","Koppers Holdings Inc.","29.84","$631.92M","2006","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/kop",NA
"1042","KEP","Korea Electric Power Corporation","11.88","$15.25B","1994","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/kep",NA
"1043","KFY","Korn/Ferry International","45.05","$2.57B","1999","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/kfy",NA
"1044","KOS","Kosmos Energy Ltd.","7.69","$3.33B","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/kos",NA
"1045","KRA","Kraton Corporation","36.13","$1.15B","2009","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kra",NA
"1046","KR","Kroger Company (The)","27.56","$21.98B","n/a","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/kr",NA
"1047","KRO","Kronos Worldwide Inc","14.93","$1.73B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kro",NA
"1048","KT","KT Corporation","14.54","$7.13B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/kt",NA
"1049","LB","L Brands, Inc.","29.64","$8.15B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/lb",NA
"1050","SCX","L.S. Starrett Company (The)","5.75","$40.38M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/scx",NA
"1051","LLL","L3 Technologies, Inc.","215.23","$16.92B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/lll",NA
"1052","LH","Laboratory Corporation of America Holdings","172.6","$17.59B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/lh",NA
"1053","LADR","Ladder Capital Corp","17.38","$1.93B","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ladr",NA
"1054","LW","Lamb Weston Holdings, Inc.","76.57","$11.21B","2016","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/lw",NA
"1055","LCI","Lannett Co Inc","3.87","$150.55M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/lci",NA
